@RELATION dn2b_-f2

@ATTRIBUTE f1 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE y {0,1}

@DATA
-0.758874926,4.041723188,1,4,1
-0.289258891,5.077032686,0,6,0
0.022179323,5.073751919,1,5,1
0.383637701,4.510019933,0,6,1
0.846884967,4.787956654,1,1,1
0.327382818,5.044710451,1,6,1
-0.75255595,5.277917534,0,1,0
-0.592330863,6.091412438,1,3,1
0.208028586,4.936812816,0,3,0
0.325659887,5.320141393,1,2,1
0.632698464,5.220377997,0,1,1
-0.914486545,4.04447776,1,0,0
-0.951392606,4.903095048,0,6,0
0.624333533,3.866638713,0,1,1
0.888378411,4.906501375,0,2,1
-0.594835579,5.319500836,1,4,1
0.582318052,5.340621627,1,0,1
0.373047018,6.096827455,0,4,1
-0.472022082,4.738981867,1,6,1
0.607423972,5.256945646,0,2,1
-0.150619252,3.720677308,0,2,0
-0.045373526,5.013053963,0,2,0
0.116338549,4.942158071,1,0,0
-0.110693669,5.715277024,1,0,0
-0.296315331,5.5722622,1,2,1
-0.52400961,5.675391271,1,6,1
-0.796693385,6.173691903,1,0,0
-0.011229342,5.754642879,0,3,0
0.750888657,6.214512895,0,0,1
-0.549186739,5.750055679,1,3,1
-0.878440724,4.258702123,1,2,0
-0.748345461,4.605305463,0,3,0
0.38099377,4.631017867,0,3,1
-0.166506669,5.609637268,0,6,0
-0.53767861,4.667494675,1,3,1
0.327782697,6.026137462,1,1,1
0.702070446,4.771346577,0,6,1
-0.423613907,4.300626206,0,0,0
-0.117048808,5.244013848,0,6,0
-0.743653315,4.511227088,1,6,1
0.775622272,3.988294818,1,5,1
0.063284769,3.893808743,1,3,1
-0.369725777,4.797305783,0,0,0
-0.067432433,4.976477694,1,2,1
0.732516748,6.519823309,1,3,1
-0.512190852,4.248431976,0,4,0
0.514384556,6.200856809,0,3,1
0.665527379,5.445642093,0,1,1
-0.803426964,3.324508277,0,5,0
-0.590914834,4.355710798,1,3,1
0.401257063,4.732347785,0,6,1
-0.136005855,5.402041879,0,6,0
0.934089411,4.65937631,0,0,1
-0.663333012,5.005147257,0,0,0
-0.669870413,5.677126829,1,2,0
-0.07799429,5.823519423,0,1,0
0.155170242,5.824679836,1,0,1
0.069631946,5.080134096,0,0,0
-0.343150722,5.215026077,0,1,0
-0.225376644,5.395049047,0,6,0
0.863633057,5.432604295,0,0,1
-0.438455086,4.656734806,0,6,0
0.8730117,5.622480868,1,5,1
-0.824537322,5.979334991,1,1,0
0.41464303,3.832585505,1,5,1
-0.078881974,5.779541605,0,3,0
0.891073437,5.560764412,1,1,1
-0.44133039,5.243336498,0,0,0
-0.265686136,6.177219155,1,1,0
0.526202704,5.291592431,0,0,1
0.85654019,5.471637691,0,5,1
-0.090591869,5.026575097,0,2,0
0.452979142,4.859887021,1,4,1
-0.864077897,4.907110666,1,4,0
0.737164059,5.838728224,1,1,1
-0.483186737,4.644696454,1,0,0
-0.92616695,4.721980332,1,2,0
-0.408518674,4.191643003,1,0,0
-0.211990261,4.016899948,1,6,1
-0.074389092,5.017911726,0,3,0
-0.987637458,5.623164365,1,6,1
-0.847567623,5.217641699,0,5,0
0.021923348,3.663887786,1,6,1
0.837410335,4.911414568,0,2,1
0.804534317,5.400225676,0,0,1
-0.207171623,4.343059039,0,4,0
0.152262274,4.084332773,0,2,1
-0.19923933,4.963499095,1,4,1
0.600556867,4.477835092,1,1,1
-0.654310079,4.401402475,0,1,0
-0.696270877,5.549065151,1,0,0
0.392168088,5.386276464,0,3,1
-0.408145511,5.241515183,0,0,0
-0.021140971,4.465304009,1,5,1
-0.659031835,4.127815602,0,6,0
0.440614214,4.868950996,0,1,1
-0.129887751,5.370286763,1,4,1
-0.682448146,4.547591755,0,6,0
-0.490346928,3.947463754,0,6,0
-0.113633253,5.284507077,1,2,1
-0.581585349,3.761932808,0,4,0
-0.784926095,5.514186494,1,4,1
0.700519797,5.993138866,1,4,1
0.382913148,3.513824351,1,2,1
0.328526879,5.306187105,0,6,1
-0.698350089,5.593114595,0,6,0
0.752839582,4.501486461,0,3,1
-0.52643837,3.69357595,0,1,0
-0.615371085,4.263838456,0,5,0
-0.208987967,5.366126176,1,1,0
0.785502899,4.991037524,0,6,1
-0.04346065,5.032952127,1,6,1
-0.716526621,5.776113902,1,3,0
-0.886354965,4.517292552,1,6,1
-0.731288379,5.977980934,0,0,0
0.87534703,5.566798483,1,1,1
0.900496145,5.801507576,1,6,1
0.94768269,5.796892251,0,0,1
0.427435846,3.583296637,1,1,1
0.011821185,4.037192347,0,4,0
0.631092518,3.153232198,1,5,1
0.339220841,3.577281211,0,2,1
0.732717639,4.374200992,1,1,1
-0.451966584,4.512595088,1,0,0
0.322721758,5.771149802,0,2,1
0.283685683,5.348175697,0,5,1
0.248810203,3.744613987,0,4,0
-0.693390716,5.749594403,0,6,0
0.968475988,5.657068393,1,1,1
-0.869918169,4.799531634,0,2,0
-0.359754782,5.047683792,1,6,1
0.987137754,4.928694499,0,3,1
-0.345526019,4.299728399,1,3,1
-0.881129121,5.573378578,1,3,0
0.996418716,3.151510006,1,2,1
-0.855354979,5.033816992,0,5,0
-0.592716303,6.01400314,0,2,0
0.152078534,5.481235428,0,4,0
-0.503028725,4.216480953,1,6,1
-0.295373163,5.875354747,1,0,0
-0.556396205,4.261149824,0,6,0
0.873694958,4.210071155,1,6,1
-0.828203302,4.389381035,0,3,0
0.370702957,4.995805602,0,6,1
0.407301548,4.371479686,0,6,1
0.076723745,5.831694222,0,0,0
-0.865842941,6.015695187,1,6,1
-0.484910004,4.623707306,0,1,0
0.404146913,5.289221399,1,1,1
0.336804001,4.045425667,1,3,1
-0.899833398,4.472390893,1,5,1
-0.439333593,6.02887072,0,5,0
-0.24977203,3.68546294,1,6,1
-0.699218704,5.407105577,0,6,0
0.589226677,3.538504556,1,2,1
0.922738429,4.869066917,0,6,1
0.437823093,5.131096315,1,1,1
-0.544159747,5.018852104,0,4,0
0.324615586,4.195986475,1,5,1
0.904391604,4.32049581,0,6,1
0.68410057,4.914497656,1,0,1
-0.674457163,4.339564811,1,5,1
-0.450032321,5.071685706,0,3,0
-0.782337709,4.964463975,1,2,0
-0.902606221,5.719696352,0,5,0
0.562976582,5.428506456,1,4,1
-0.019737821,4.873242563,1,0,0
0.339031685,7.279035785,1,6,1
-0.205539345,4.443005946,1,2,0
-0.450702948,5.735023255,0,6,0
0.83222182,4.98108067,0,4,1
0.260172103,5.248271186,1,4,1
0.88321305,4.589036414,0,5,1
-0.180145425,4.98211965,1,1,0
-0.545171977,6.359342573,0,3,0
0.761029649,5.392728234,1,1,1
-0.586063345,4.892803015,1,5,1
0.351657606,4.842281364,0,2,1
0.903478851,5.509455868,0,2,1
-0.082050153,3.911321281,1,1,0
-0.631966654,5.160313995,1,2,0
-0.518236181,4.640107369,0,5,0
-0.975662615,5.203836581,1,6,1
0.96397511,4.959391742,1,5,1
-0.470941834,5.644370763,1,6,1
-0.713080141,5.756987804,1,6,1
-0.810166563,4.923591003,0,6,0
-0.9516704,5.985528743,0,1,0
-0.01868077,4.86324487,1,4,1
-0.956374801,5.121828845,0,2,0
-0.097595049,6.445463959,1,1,0
0.081776221,4.299078058,1,4,1
0.843545349,4.928996095,1,0,1
-0.089710799,4.628840552,0,1,0
-0.376277959,5.184621919,0,4,0
-0.697684887,4.531478293,0,2,0
0.855525593,5.518006908,1,6,1
0.029822267,4.280121494,0,6,1
-0.7079372,4.928408268,0,6,0
0.758589721,4.893279297,1,4,1
-0.471280712,5.135562809,1,4,1
-0.990532377,5.148310924,1,5,1
0.960663188,4.348937653,1,6,1
0.305178861,4.259899745,1,3,1
-0.266230987,5.883077092,0,4,0
0.873675137,5.28712403,0,1,1
-0.355312217,4.229425696,0,0,0
0.289292089,5.578072514,1,0,1
-0.295525224,4.800484456,1,1,0
-0.547736203,4.588381718,0,4,0
-0.647326535,5.032833608,0,5,0
0.118333309,5.093884941,0,4,0
0.982953427,3.608777192,1,3,1
0.6072037,4.963567311,0,6,1
-0.909755068,4.839127739,0,6,0
0.280885545,3.752173574,0,6,0
0.409389085,5.301293971,1,1,1
-0.791814945,5.392911983,0,3,0
-0.771080886,4.096998157,0,1,0
0.468251218,5.082794839,1,6,1
0.935829459,5.887387089,1,1,1
0.649252614,5.183804836,0,5,1
0.66923225,5.24077884,1,4,1
-0.951751559,4.574809782,0,3,0
0.402508533,5.600529409,1,6,1
-0.352280942,4.354269583,1,2,0
-0.088247461,5.271314875,1,2,1
-0.367251332,4.729616278,0,4,0
-0.15396846,5.254823696,0,6,0
-0.487478239,4.798857573,1,3,1
-0.985624911,5.554878888,1,4,0
0.477897171,4.80114501,1,0,1
0.509363922,5.858713333,0,5,1
0.35667453,5.809794119,1,0,1
-0.298700698,5.548307084,1,1,0
0.227132404,4.569869997,0,5,1
0.754081247,4.896643629,1,1,1
-0.859532605,4.286813736,0,5,0
-0.913855051,4.467569965,1,0,0
-0.265951554,5.28676854,1,6,1
-0.599915513,6.659740041,1,5,1
-0.042085969,4.550250653,0,2,0
-0.11148498,3.803987404,0,3,0
-0.994122404,5.01645708,0,5,0
-0.878911773,4.67883058,1,5,1
-0.180293129,5.535639364,0,6,0
-0.27836286,5.72857314,1,0,0
0.786466968,4.667975418,0,0,1
0.993330945,5.144896889,0,1,1
0.858895878,6.538624277,0,1,1
0.116731349,4.533669238,1,0,0
-0.361151316,4.379668515,0,2,0
-0.689223791,3.701287101,1,2,0
0.192276233,5.3777624,0,2,0
-0.303064411,4.374328498,0,3,0
-0.073124198,3.785909747,0,1,0
0.033942507,5.029718742,1,5,1
0.781576979,4.569690391,1,5,1
-0.867700812,5.463429191,1,6,1
0.505941531,5.034045108,0,1,1
-0.582056194,4.090481297,1,0,0
0.819096868,4.24243173,0,4,1
0.530690419,3.968649922,1,6,1
0.221769794,5.46305456,1,4,1
-0.402012386,5.45371371,1,5,1
0.239250163,4.464194298,1,2,1
-0.784570406,4.791890271,0,0,0
-0.678447232,6.440860107,0,0,0
0.538053392,5.071156911,0,5,1
-0.124778107,5.549716255,0,6,0
0.163180386,4.66535309,0,4,1
0.222054809,4.555337861,0,4,0
-0.775263286,4.821931168,0,0,0
-0.291958042,5.967027279,1,3,1
-0.749519841,5.429932247,0,2,0
-0.481491852,4.724107331,0,6,0
0.328202907,4.019116961,0,0,0
0.866417516,5.334064612,0,6,1
-0.202370722,6.22823918,0,6,0
0.883964502,4.868843059,1,1,1
-0.987479161,5.194023125,0,4,0
0.026879829,5.243456937,1,2,1
-0.951402425,5.299972565,1,5,1
-0.052890439,5.47932891,1,6,1
-0.599949968,4.584774023,0,0,0
0.250685731,5.685391837,0,3,1
0.673230576,5.649642975,0,0,1
0.263305256,4.910705856,0,4,0
0.095107319,3.674725656,0,2,1
0.84899917,5.101446624,1,6,1
0.609321349,5.405220383,1,2,1
-0.373429304,3.429234672,0,3,0
-0.083801792,6.059986281,0,2,0
0.948766856,4.54672875,0,0,1
-0.005339601,4.975407119,1,3,1
-0.983025767,5.762859673,1,1,0
0.048431973,4.305265485,1,1,1
-0.927863758,5.190860198,1,5,1
0.626496141,4.875665541,1,4,1
-0.672745806,4.591369033,0,6,0
-0.978957525,5.067972622,1,4,1
0.55458864,6.071892959,0,5,1
0.355313385,6.091061359,0,2,1
0.455906776,4.728630258,1,3,1
0.974127795,5.243776802,0,0,1
-0.315073276,4.87154537,0,6,0
-0.878815997,5.803343229,0,2,0
0.336110141,6.436842125,1,2,1
-0.325788616,5.440655536,0,2,0
-0.137177416,5.374699311,0,2,0
-0.741844236,4.395933956,0,0,0
0.316772555,4.914018034,1,4,1
0.191075918,5.661603916,1,5,1
0.936447476,5.28112116,1,2,1
-0.937518753,5.89283769,1,6,1
0.209674202,4.327697615,0,2,1
-0.0594756,5.272405785,0,0,0
0.797933883,5.723272446,1,1,1
0.987397214,5.179071738,1,5,1
0.485366309,6.306871757,1,4,1
0.199522302,4.601791974,0,6,0
-0.606423841,3.74604493,1,2,0
0.885206666,4.604624007,0,3,1
-0.985054792,4.39330693,1,1,0
0.954863336,3.80977926,0,6,1
0.515287603,4.911460239,0,5,1
0.771322069,5.62668624,1,3,1
-0.776464802,5.821126377,0,2,0
-0.709012384,5.286865542,0,3,0
-0.956821757,4.925963336,1,2,0
-0.303954221,4.52662656,0,0,0
0.679519164,4.919748887,0,3,1
0.406412243,5.228873988,1,3,1
-0.339206449,4.459960143,0,0,0
0.674966927,5.749273081,1,2,1
0.349642676,3.977109452,1,2,1
-0.235930866,5.757635698,1,3,1
0.415409395,4.706100097,0,1,1
0.586371155,5.706701597,1,4,1
0.673230141,4.411204157,0,4,1
-0.208901375,4.740130191,1,6,1
0.136389038,4.569330504,0,6,0
-0.301165929,4.426433744,1,1,0
-0.955632053,3.339708921,0,4,0
0.678106175,4.333278796,0,0,1
-0.962359061,4.370639432,1,0,0
-0.072817474,4.629454584,1,1,1
-0.186944039,5.353629897,0,3,0
-0.088557846,5.448306266,0,1,0
0.787347997,4.823264715,0,1,1
-0.633182998,6.431771963,0,4,0
0.282822047,5.009924353,0,2,1
-0.425117589,5.10698557,0,3,0
0.767197831,4.997235452,0,4,1
-0.451438547,5.493348889,0,1,0
-0.529969993,4.687728682,0,6,0
-0.830318856,5.774126887,1,2,0
-0.690019646,4.065907278,0,5,0
0.721780759,6.108773071,0,0,1
0.832830964,5.060226558,1,1,1
-0.98624677,6.067504462,0,3,0
-0.478216877,4.923097651,0,6,0
-0.506707451,3.488155977,1,0,0
-0.949258034,5.303286224,1,4,0
0.239035576,5.087448216,0,2,1
0.219648823,4.020922827,1,5,1
-0.211347148,4.236488996,0,2,0
0.082001348,4.90678159,1,3,1
-0.043220106,4.301986001,0,6,0
0.573566648,3.71903951,1,5,1
-0.270491873,5.877031689,0,0,0
0.189404514,5.541860016,1,0,1
-0.716682204,6.289825068,1,0,0
-0.155486638,6.243814615,0,3,0
-0.780853193,4.167336445,1,3,0
-0.667874144,5.240671421,0,6,0
-0.802243703,4.528366248,1,3,0
0.350957709,5.224325922,0,2,1
0.740362704,4.909340144,0,1,1
-0.36968906,4.355483378,0,5,0
-0.186878064,5.436039397,1,3,1
-0.745231621,4.217263329,0,2,0
0.467772989,5.326808242,1,1,1
-0.361774782,5.269251275,0,1,0
-0.658386264,5.272401889,0,3,0
-0.908144285,3.740415731,0,6,0
0.298894927,4.502709947,0,5,0
0.784906982,5.230529624,0,2,1
0.771256627,4.424265177,0,2,1
0.84825916,4.852577541,1,5,1
0.670472924,4.612630815,1,4,1
-0.595281651,4.168179739,1,3,0
-0.847109865,4.501971753,0,6,0
-0.890309198,4.212451285,0,2,0
-0.42907517,4.74595699,1,4,1
0.351446491,4.463613327,0,2,1
0.06606129,5.321334787,1,4,1
0.778843489,4.611488428,0,6,1
0.978423616,4.511263146,1,4,1
0.901431958,6.315536041,0,2,1
0.415785307,5.204571188,1,0,1
-0.41459795,5.481169315,1,4,1
-0.515627232,5.285627229,0,0,0
-0.856158948,6.032393113,1,6,1
0.427667127,4.370107165,1,0,1
-0.387136543,5.418528085,0,0,0
-0.777584581,5.285452679,1,4,1
-0.620859583,4.617361057,0,5,0
0.002131447,4.367169851,0,0,0
0.954849609,4.784385331,1,0,1
0.413734956,5.197877777,0,4,1
-0.765275286,4.473555019,1,5,1
0.767675365,4.980149963,1,2,1
0.283778426,6.317896691,0,5,1
-0.586577075,4.453886605,1,4,1
0.066531156,3.289224642,0,6,0
0.381159315,4.436160467,1,3,1
0.31173517,4.572737414,0,5,1
-0.032085623,4.460073325,0,5,0
0.3038559,5.166007905,0,3,1
-0.522333776,5.272110069,0,3,0
-0.862119747,5.700966201,0,0,0
0.995228137,6.496892159,1,6,1
0.709353307,4.63009919,0,4,1
0.484522121,4.16070925,0,2,1
-0.388141833,4.30557471,0,1,0
0.131152472,4.839604836,0,4,0
-0.078747246,4.686078434,1,4,1
0.51007541,4.555455746,1,6,1
-0.070019875,5.056134238,0,6,0
-0.354369875,5.081351322,0,4,0
0.44210306,5.344530001,0,0,1
-0.753123949,5.014366074,1,5,1
0.479911006,5.029045108,1,4,1
0.303545446,5.171089211,0,3,1
-0.660533731,5.691028817,0,0,0
0.676894666,5.03055529,1,0,1
0.875938735,5.258063102,1,1,1
-0.61625825,5.625606609,1,5,1
-0.941082994,4.750072044,0,3,0
0.145589413,3.755484363,0,3,0
-0.164058,5.134351918,1,0,0
0.802126146,4.715248205,1,0,1
0.207281419,5.508506077,1,2,1
-0.697804624,4.378187345,0,6,0
0.339795793,3.75318964,0,3,0
0.759385701,5.691007985,1,4,1
-0.559627938,5.225217943,0,5,0
0.640675382,6.537425318,0,3,1
0.90273695,6.063176708,0,1,1
0.619888594,4.910651447,0,2,1
-0.822406024,3.946369503,0,2,0
0.983076474,5.021331361,0,4,1
0.669157798,5.202638608,1,0,1
-0.773025345,4.783565061,0,2,0
0.616422888,4.286278132,0,5,1
-0.254933639,5.532978666,1,4,1
-0.367831811,5.143565825,0,6,0
-0.809972629,4.685976587,1,6,1
0.377607419,5.317548888,0,4,1
0.17793868,6.162387034,1,6,1
-0.109858375,5.286616588,1,0,0
-0.535603511,5.366256602,1,4,1
0.671247158,4.65174987,0,5,1
0.818110178,5.526082659,1,5,1
-0.304781459,4.724100309,0,2,0
-0.909581296,5.295324842,1,0,0
-0.126745088,4.549692069,1,4,1
0.1553884,5.156678651,1,2,1
-0.310996803,4.857939581,1,5,1
-0.958878781,5.487821648,1,5,1
-0.954973074,5.089285141,0,0,0
-0.614307369,4.28603639,0,5,0
-0.255222281,4.748061328,0,0,0
-0.008852461,5.409628953,0,1,0
-0.857934986,3.415957936,1,2,0
-0.427737195,5.985837018,1,4,1
0.039318083,4.484607828,1,1,1
-0.988782879,3.989323064,1,4,1
0.457346849,4.809001435,1,4,1
-0.878658227,5.356968346,0,0,0
-0.155272922,3.930292586,1,1,0
-0.110799456,5.549345111,1,3,1
0.899083484,5.266123328,0,6,1
0.329240071,5.621091533,0,5,0
0.105661434,4.46767444,0,4,0
0.343842029,5.711355836,1,1,1
0.027547823,3.961050545,1,1,0
-0.82041494,4.998990605,0,1,0
0.439514918,3.885020918,0,6,1
-0.660019894,5.583785067,1,1,0
0.083775992,4.796719422,0,4,0
-0.214501897,5.0666753,1,0,0
0.493330741,5.527590794,1,6,1
-0.776640593,4.717143291,1,1,0
-0.177880178,4.01697667,1,6,1
0.697628961,5.356169495,1,5,1
0.162965882,3.412268023,0,2,0
0.614520513,5.034512482,1,3,1
0.502544216,4.141169051,1,6,1
0.493464269,5.499595785,0,4,1
-0.131038936,5.096118973,1,4,1
0.824685035,4.454210546,0,0,1
0.047964072,4.888815493,1,1,1
0.864225233,4.724662066,1,2,1
0.171083666,4.840936536,0,0,1
0.672033733,5.729510835,1,3,1
0.428581779,5.552003821,0,4,1
-0.943590774,3.891962751,0,1,0
-0.025312675,5.416541564,1,5,1
0.714876277,5.943561971,0,5,1
0.273886527,3.090616292,1,2,1
0.048577921,6.006711624,1,2,1
0.805196393,5.619867404,0,5,1
0.155919864,5.740976734,1,3,1
0.373507621,5.521264907,1,1,1
-0.454152425,5.376750578,1,6,1
0.246171992,5.060617197,0,3,1
0.893386706,4.727710248,1,0,1
0.403129972,3.875515074,1,3,1
0.913490664,6.348649646,1,6,1
-0.189815298,4.37226982,1,3,1
0.31199068,4.056715317,1,6,1
-0.100163294,3.457880386,0,6,0
-0.840479604,4.70346131,0,3,0
0.988990963,6.40565484,1,4,1
0.239510935,4.739690264,0,0,1
0.296506023,4.716591899,0,4,1
-0.08553524,5.569006721,1,0,0
-0.626384066,4.98778066,1,5,1
0.397663242,4.631470477,0,4,1
-0.961921365,5.120539549,1,0,0
-0.676211103,4.920983889,1,5,1
0.064716781,4.422721997,1,0,0
-0.931657485,4.395187576,1,3,0
-0.929073949,4.817067289,0,3,0
-0.155794297,5.49323117,0,3,0
0.518623355,5.52292081,0,2,1
-0.14263491,4.819399658,1,5,1
-0.859292646,4.682384282,0,6,0
0.116121798,5.588875906,0,5,0
-0.055713105,4.958873494,1,5,1
0.560994855,5.854918746,1,6,1
0.039178952,4.923623985,0,0,0
0.096092771,5.402239646,1,1,0
-0.414124775,5.969835769,0,5,0
-0.92546439,4.909004439,1,3,0
0.981496375,5.508030568,1,4,1
0.070968648,4.712476695,0,3,0
-0.554794893,5.066188127,1,2,1
0.134167727,5.324927535,0,0,1
-0.693674141,5.177527339,0,5,0
0.033393659,5.428322978,0,3,0
-0.32176982,5.347214307,0,4,0
-0.015293875,4.21717416,1,0,0
-0.450140899,4.025364702,0,0,0
-0.585314746,5.038909439,0,4,0
-0.857530582,5.594167491,0,0,0
-0.636112547,6.32214451,1,5,1
-0.877066365,4.139530173,1,2,0
-0.923042524,3.556746688,1,2,0
-0.873820151,5.415072871,0,1,0
-0.354070231,6.000169371,1,3,1
0.136789903,4.348763178,1,5,1
0.662985693,4.875198247,0,3,1
-0.909452356,5.151762922,1,0,0
0.92009188,4.833924109,0,5,1
0.363390556,5.092818656,0,6,1
-0.542296605,5.023035703,1,3,1
0.431864603,4.770846909,0,6,1
0.120679374,4.664826551,0,0,0
0.708774013,5.099238051,0,6,1
-0.786574982,5.321962692,0,2,0
-0.769836116,6.034447786,1,4,1
-0.271967465,4.64104788,0,5,0
0.265839836,5.135884741,0,1,1
0.56454427,4.509267471,1,4,1
0.650361997,4.284999517,1,2,1
-0.710832262,3.772377776,1,4,1
-0.409951061,4.847346496,1,6,1
0.402947194,6.558111857,0,3,1
0.899033381,4.16768397,1,4,1
-0.55266491,4.807022325,0,4,0
0.528259314,3.605308554,0,0,1
0.946057336,5.597126448,1,6,1
-0.282076212,5.11852727,0,0,0
0.092053858,6.297400438,0,4,0
0.372897129,4.566900595,1,5,1
-0.615136257,5.213986393,1,1,0
0.080581165,5.884617138,1,5,1
-0.435206788,3.965975445,0,3,0
